id,text,text_clean,category
1,Breaking News: Major earthquake hits California! Emergency services responding immediately.,break news major earthquake hit california emergency respond immediately,news
2,The weather forecast shows sunny skies with temperatures reaching 85°F today ☀️,forecast show sunny sky temperature reach 85°f today ,weather
3,I'm SO excited about the new movie release this weekend! Can't wait to see it 😍,im excite movie release weekend cant wait see ,entertainment
4,Traffic alert: Highway 101 is closed due to construction work. Please find alternate routes.,traffic alert highway 101 close due construction work please find alternate route,traffic
5,Just finished reading an amazing book about artificial intelligence and machine learning.,finish reading amaze book artificial intelligence machine learn,technology
6,The restaurant serves delicious Italian food with authentic flavors and great service.,restaurant serf delicious italian food authentic flavor great service,news
7,Stock market update: Tech stocks are rising while energy sectors show mixed results.,stock market update tech stock rise energy sector show mixed result,weather
8,My grandmother's homemade cookies are the BEST in the world! Recipe passed down generations.,grandmother homemade cooky best world recipe pass generation,entertainment
9,"Climate change is affecting weather patterns globally, scientists report new findings.",climate change affect pattern globally scientist report finding,traffic
10,The new smartphone features include advanced camera technology and longer battery life.,smartphone feature include advanced camera longer battery life,technology
11,LOL! That joke was hilarious 😂 Thanks for sharing it with me!,lol joke hilarious  thanks share,news
12,University announces new scholarship programs for international students studying abroad.,university announces scholarship program international student study abroad,weather
13,The soccer match ended in a dramatic 3-2 victory for the home team.,soccer match end dramatic 32 victory home team,entertainment
14,Online shopping has revolutionized how we purchase goods and services nowadays.,shopping revolutionize purchase good nowadays,traffic
15,The concert was absolutely FANTASTIC! The band played all their hit songs.,concert absolutely fantastic band played hit song,technology
16,Research shows that regular exercise improves both physical and mental health significantly.,research show regular exercise improves physical mental health significantly,news
17,The historical museum displays artifacts from ancient civilizations and cultures.,historical museum display artifact ancient civilization culture,weather
18,Social media platforms are changing how people communicate and share information.,social medium platform change people communicate share information,entertainment
19,"The bakery offers fresh bread, pastries, and cakes made daily with organic ingredients.",bakery fresh bread pastry cake make daily organic ingredient,traffic
20,Technological advancements in renewable energy are helping combat environmental issues.,technological advancement renewable energy help combat environmental issue,technology
21,The thriller novel kept me on the edge of my seat until the very last page!,thriller novel kept edge seat last page,news
22,Public transportation systems need improvements to reduce urban traffic congestion.,public transportation system need improvement reduce traffic congestion,weather
23,"The art gallery showcases contemporary paintings, sculptures, and digital artwork.",art gallery showcase contemporary painting sculpture digital artwork,entertainment
24,"Cooking classes teach students how to prepare healthy, nutritious meals at home.",cooking class teach student prepare healthy nutritious meal home,traffic
25,The documentary explores wildlife conservation efforts in national parks worldwide.,documentary explores wildlife conservation effort national park worldwide,technology
26,Remote work has become more common since the pandemic changed workplace dynamics.,remote work become common since pandemic change workplace dynamic,news
27,"The garden blooms with colorful flowers, herbs, and vegetables throughout the seasons.",garden bloom colorful flower herb vegetable throughout season,weather
28,Educational technology is transforming traditional classroom learning experiences.,educational transform traditional classroom learn,entertainment
29,The marathon runner completed the 26.2-mile race in under three hours!,marathon runner complete 262mile race three hour,traffic
30,Sustainable farming practices help preserve soil quality and protect the environment.,farm practice help preserve soil quality protect environment,technology
31,The coffee shop serves specialty drinks made with ethically sourced beans.,coffee shop serf specialty drink make ethically source bean,news
32,Medical research continues to advance treatments for various diseases and conditions.,medical research continue advance treatment disease condition,weather
33,The theater production received standing ovations from the enthusiastic audience.,theater production receive stand ovation enthusiastic audience,entertainment
34,Cybersecurity measures are essential for protecting personal data and privacy online.,cybersecurity measure essential protect personal data privacy,traffic
35,"The hiking trail offers breathtaking views of mountains, forests, and valleys.",hike trail breathtaking view mountain forest valley,technology
36,Food trucks provide diverse culinary options for busy urban professionals.,food truck provide diverse culinary option busy professional,news
37,"The library provides access to books, digital resources, and quiet study spaces.",library provide access book digital resource quiet study space,weather
38,Artificial intelligence is being integrated into various industries and applications.,artificial intelligence integrate industry application,entertainment
39,"The beach vacation included swimming, surfing, and relaxing under the sun.",beach vacation include swim surf relax sun,traffic
40,Community gardens bring neighbors together while promoting sustainable living practices.,community garden bring neighbor together promote living practice,technology
41,The startup company developed innovative solutions for modern business challenges.,startup company developed innovative solution modern business challenge,news
42,Music festivals celebrate diverse genres and bring artists and fans together.,music festival celebrate diverse genre bring artist fan together,weather
43,The hospital implemented new protocols to improve patient care and safety.,hospital implement protocol improve patient care safety,entertainment
44,"Urban planning focuses on creating livable, sustainable cities for future generations.",planning focus create livable city future generation,traffic
45,The photography workshop taught techniques for capturing stunning landscape images.,photography workshop taught technique capture stun landscape image,technology
46,E-commerce platforms have transformed retail shopping into convenient online experiences.,ecommerce platform transform retail shopping convenient,news
47,"The fitness center offers various classes including yoga, pilates, and strength training.",fitness center class include yoga pilate strength training,weather
48,Scientific discoveries continue to expand our understanding of the universe.,scientific discovery continue expand understand universe,entertainment
49,The farmers market features locally grown produce and handmade crafts.,farmer market feature locally,traffic
50,Virtual reality technology creates immersive experiences for entertainment and education.,,technology
